Номер;Назавние;Рейтинг;Год;Страна;Жанр;Режисёр
48;Форрест Гамп;8.6*;1994;США;комедия, мелодрама;Роберт Земекис
49;Римские каникулы;8.6*;1953;США;мелодрама, драма;Уильям Уайлер
50;Холоп;8.6*;2019;Россия;комедия;Клим Шипенко
51;Иван Васильевич меняет профессию;8.6*;1973;СССР;комедия, фантастика;Леонид Гайдай
52;Брат;8.6*;1997;Россия;боевик, драма;Алексей Балабанов
53;Игры разума;8.6*;2001;США;мистика, драма;Рон Ховард
54;Пираты Карибского моря: На краю света;8.5*;2007;США;сказка, боевик;Гор Вербински
55;Изгой;8.5*;2000;США;приключения, драма;Роберт Земекис
56;Король Лев;8.5*;2019;США;фантастика, семейный;Джон Фавро
57;Пассажиры;8.5*;2016;США;фантастика, приключения;Мортен Тильдум
58;Пятый элемент;8.5*;1997;Франция;приключения, триллер;Люк Бессон
59;Игра;8.5*;1997;США;криминал, приключения;Дэвид Финчер
60;Веном;8.5*;2018;США;фантастика, боевик;Рубен Флейшер
61;Чего хотят женщины;8.5*;2000;США;мелодрама, комедия;Нэнси Мейерс
62;Твое имя;8.5*;2016;Япония;анимация, фэнтези;Макото Синкай
63;Движение вверх;8.5*;2017;Россия;спорт, драма;Антон Мегердичев
64;ВАЛЛ-И;8.5*;2008;США;семейный, фэнтези;Эндрю Стэнтон
65;Джанго освобожденный;8.5*;2012;США;вестерн;Квентин Тарантино
66;Легенда №17;8.5*;2012;Россия;биография, спорт;Николай Лебедев
67;Шерлок Холмс;8.5*;2009;США / Великобритания;драма, боевик;Гай Ричи
68;Терминатор 2: Судный день 3D;8.5*;2017;США;боевик, триллер;Джеймс Кэмерон
69;Ну, погоди!;8.5*;1969;СССР;короткометражный, анимация;Вячеслав Котеночкин
70;Сумерки. Сага. Новолуние;8.5*;2009;США;фэнтези, мелодрама;Крис Вайц
71;Любовь и голуби;8.5*;1984;СССР;комедия, мелодрама;Владимир Меньшов
72;Маленькие женщины;8.5*;2019;США;мелодрама, драма;Грета Гервиг
73;Как приручить дракона;8.5*;2010;США;анимация, семейный;Дин Деблуа
74;Привидение;8.5*;1990;США;драма, фэнтези;Джерри Закер
75;Терминатор 2: судный день;8.5*;1991;США / Франция;боевик, триллер;Джеймс Кэмерон
76;Матрица;8.5*;1999;Австралия / США;боевик, фантастика;Лилли (Энди) Вачовски
77;Мстители: Финал;8.5*;2019;США;боевик, фантастика;Энтони Руссо
78;Гарри Поттер и Дары смерти. Часть вторая;8.5*;2011;США / Великобритания;семейный, фэнтези;Дэвид Йейтс
79;Рапунцель: Запутанная История;8.4*;2010;США;семейный, мюзикл;Байрон Ховард
80;Унесенные призраками;8.4*;2001;Япония;аниме , семейный;Хаяо Миядзаки
81;Брат 2;8.4*;2000;США / Россия;боевик, криминал;Алексей Балабанов
82;Загадочная история Бенджамина Баттона;8.4*;2008;США;мелодрама, драма;Дэвид Финчер
83;Я - легенда!;8.4*;2007;США;драма, фантастика;Френсис Лоуренс
84;А зори здесь тихие;8.4*;1972;СССР;исторический, драма;Станислав Ростоцкий
85;Аладдин;8.4*;2019;США;приключения, мюзикл;Гай Ричи
86;Алита: Боевой ангел;8.4*;2018;США / Канада / Аргентина;фантастика, боевик;Роберт Родригес
87;Брестская крепость;8.4*;2010;Россия / Беларусь;драма, военный;Александр Котт
88;Назад в будущее;8.4*;1985;США;приключения, фантастика;Роберт Земекис
89;Железный человек;8.4*;2008;США;приключения, фантастика;Джон Фавро
90;Достучаться до небес;8.4*;1997;Германия / Нидерланды / Бельгия;боевик, драма;Томас Ян
91;Плохие парни навсегда;8.4*;2020;США;боевик, криминал;Адиль Эль Арби
92;Три богатыря и шамаханская царица;8.4*;2010;Россия;сказка, анимация;Сергей Глезин
93;Зверополис;8.4*;2016;США;анимация, боевик;Байрон Ховард
94;Троя;8.4*;2004;США / Мальта / Великобритания;исторический, приключения;Вольфганг Петерсен
95;Человек-паук: Вдали от дома;8.4*;2019;США;фантастика, боевик;Джон Уоттс
96;Черный лебедь;8.4*;2010;США;драма, триллер;Даррен Аронофски
